id,value
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Euphorbioideae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Euphorbioideae.family_Euphorbieae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Euphorbioideae.family_Hippomaneae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Euphorbioideae.family_Hippomaneae.family_Hippomaninae,8
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Euphorbioideae.family_Stomatocalyceae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Hypericaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Linaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Malpighiaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Passifloraceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Phyllanthaceae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Phyllanthaceae.family_Antidesmeae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Phyllanthaceae.family_Antidesmeae.family_Antidesminae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Phyllanthaceae.family_Phyllantheae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Phyllanthaceae.family_Phyllantheae.family_Flueggeinae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Phyllanthaceae.family_Poranthereae,6
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Phyllanthaceae.family_Scepinae,6
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Phyllanthaceae.family_Wielandieae,6
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Picrodendraceae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Picrodendraceae.family_Caletieae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Picrodendraceae.family_Caletieae.family_Dissiliariinae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Picrodendraceae.family_Caletieae.family_Pseudanthinae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Picrodendraceae.family_Picrodendreae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Picrodendraceae.family_Picrodendreae.family_Mischodontinae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Putranjivaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Salicaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Violaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Cistaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Dipterocarpaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Malvaceae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Malvaceae.family_Bombacoideae,6
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Malvaceae.family_Malvoideae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Malvaceae.family_Malvoideae.family_Gossypieae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Malvaceae.family_Malvoideae.family_Hibisceae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Malvaceae.family_Malvoideae.family_Malveae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malvales.family_Thymelaeaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Oxalidales,
kingdom_Plant.class_Eudicots.order_Rosids.order_Oxalidales.family_Cunoniaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Oxalidales.family_Oxalidaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Rosales,
kingdom_Plant.class_Eudicots.order_Rosids.order_Rosales.family_Cannabaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Rosales.family_Elaeagnaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Rosales.family_Moraceae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Rosales.family_Moraceae.family_Artocarpeae,6
kingdom_Plant.class_Eudicots.order_Rosids.order_Rosales.family_Moraceae.family_Moreae,6
kingdom_Plant.class_Eudicots.order_Rosids.order_Rosales.family_Rhamnaceae,5
kingdom_Plant.class_Eudicots.order_Rosids.order_Rosales.family_Rosaceae,
